product_id,handle,title,blocks_removed
7697532682396,,Gaja barbaresco 2018 75cl,1
7697536057500,,Gaja barbaresco 2019 magnum 1.5 liters,1
7697539170460,,Vina sena 2010 75cl,1
7697903485084,,"Ca' dei Frati, Cuvée dei Frati Brut 75cl",1
7698971099292,,"Piper-Heidsieck, Essentiel Cuvée Réservée Extra Brut 75cl",1
7699021562012,,"Piper-Heidsieck, Cuvée Sublime Demi-Sec Gift Box",1
7699058589852,,"Piper-Heidsieck, Essentiel Blanc de Blancs Extra Brut 75cl",1
7699268501660,,"Piper-Heidsieck, Vintage 2014 75cl",1
7699336331420,,"Piper-Heidsieck, Hors-Série Vintage Brut 1982 75cl",1
7704206114972,,"Cleto Chiarli, Moden Blanc Pignoletto Modena Brut 75cl",1
7704985469084,,"Devaux, Cuvée D, Aged 5 Years 75cl",1
7704987762844,,"Nyetimber, 1086 Prestige Cuvée  2010",1
7705902186652,,"Nyetimber, Classic Cuvée Multi Vintage",1
7707805155484,,"Nyetimber, `Tillington` Single Vineyard 2014",1
7707809349788,,"Nyetimber, `Cuvée Chérie` Demi-Sec 75cl",1
7707813249180,,"Nyetimber, Blanc de Blancs 2015, 75cl",1
7707987280028,,"Bellavista, `Alma` Franciacorta Gran Cuvée Brut 75cl",1
7707990720668,,"Domaine Vrignaud, Chablis 1er Cru `Fourchaume` 2021 75cl",1
7707992719516,,"Domaine Corinne Perchaud, Chablis 1er Cru `Fourchaume` 2020, 75cl",1
7707998126236,,"Domaine Laroche, Chablis 1er Cru `Côte de Léchet` 2021, 75cl",1
7708011954332,,"Domaine Laroche, Chablis `St Martin` 2020, 75cl",1
7708107669660,,"Domaine Corsin, Pouilly-Fuissé `Vieilles Vignes`2018, 75cl",1
7708598141084,,Dom Perignon Champagne 75cl,1
7710297981084,,"Domaine Georges Glantenay, Bourgogne Aligoté Vieilles Vignes 2020, 75cl",1
7710526603420,,Knockando 1978,1
7710528438428,,Prunier 1978 Borderies Cognac 70cl,1
7710532665500,,Cognac Park Millesimes Fin Bois 1978,1
7710572314780,,"Etienne Sauzet, Hautes Côtes de Beaune Blanc `Jardin du Calvaire` 2019, 75cl",1
7710594990236,,"Etienne Sauzet, Bourgogne `La Tuféra` 2021, 75cl",1
7710634901660,,"Domaine de Montille, Bourgogne Blanc `Le Clos du Château de Puligny-Montrachet`75cl",1
7710639128732,,"Livio Felluga, `Illivio` Pinot Bianco Chardonnay Picolit 2020, 75cl",1
7710652072092,,"Gaja, `Gaia & Rey` Langhe Chardonnay 2018, 75cl",1
7710657839260,,"Domaine Jean-Noël Gagnard, Chassagne-Montrachet 1er Cru `Les Caillerets` 2020, 75cl",1
7710660198556,,"Domaine Jean-Marc Boillot, Montagny 1er Cru 75cl",1
7710662066332,,"El Coto, `875m Finca Carbonera` Rioja Chardonnay 2021, 75cl",1
7710662656156,,"Domaine Jean-Marc Boillot, Bourgogne Blanc 2021, 75cl",1
7710666064028,,"Domaine du Roc des Boutires, Pouilly-Fuissé `En Bertilionne` 2020, 75cl",1
7710667014300,,"Thorne & Daughters, `Rocking Horse` Cape White Blend 2021 75cl",1
7710686216348,,"Domaine du Roc des Boutires, Mâcon-Solutré 2020 75cl",1
7710732550300,,"Domaine de Bel Air, `Cuvée des Acoins` Pouilly-Fumé 2020 75cl",1
7710744707228,,"Kim Crawford, Marlborough Sauvignon Blanc 2021 75cl",1
7710749425820,,"Altos Las Hormigas, `Appellation Altamira` Uco Valley Malbec-2020 75cl",1
7710816600220,,"Château Petit-Village, Pomerol-2017 75cl",1
7710828331164,,"Château Tour de Capet, Saint-Émilion Grand Cru-2019 75cl",1
7710832263324,,"Kim Crawford, `Spitfire` Small Parcels Marlborough Sauvignon Blanc 2021 75cl",1
7710856478876,,"Château Capet-Guillier, Saint-Émilion Grand Cru-2017 75cl",1
7711764971676,,"Château Mouras, Graves-2018 75cl",1
7712034160796,,"Château Lamothe-Bouscaut, Pessac-Léognan Blanc-2019 75cl",1
7712042090652,,"Château Lamothe-Bouscaut, Pessac-Léognan-2018 75cl",1
7712053788828,,"Château Le Crock, Saint-Estèphe-2017 75cl",1
7712136298652,,"Pavillon de Léoville Poyferré, Pavillon de Léoville Poyferré-2016 75cl",1
7712140624028,,"Château Montgrand-Milon, Pauillac-2016 75cl",1
7713533296796,,"Fairview, Darling Sauvignon Blanc 2022 75cl",1
7713558462620,,"Ca' dei Frati, `Pratto` 2020 75cl",1
7715212099740,,Petrus 2009,1
7715934666908,,Lafite Rothschild 2021,1
7715939778716,,Lafite Rothschild 2000,1
7716486676636,,Château Mouton Rothschild 1982,1
7716494573724,,Château Mouton Rothschild 1985,1
7716500275356,,Château Mouton Rothschild 1998,1
7716503847068,,Château Mouton Rothschild 2000,1
7716510564508,,Château Mouton Rothschild 2001,1
7716567187612,,Château Mouton Rothschild 2008 75cl,1
7716591075484,,Château Mouton Rothschild 300cl 1982,1
7716636328092,,Carruades de Lafite 2021 75cl,1
7716919607452,,"Quinta da Romeira, Espumante Bruto-2021 75cl",1
7717938561180,,Ilegal Reposado Mezcal 70cl,1
7752597012636,,Taylors Historic Collection Reserve Tawny Port 75cl,1
7789253886108,,Laurent-Perrier Cuvée Rosé Brut NV Champagne 75cl,1
7789261389980,,Laurent-Perrier Cuvée Rosé Brut NV Champagne Gift Set 75cl,1
7789283967132,,Billecart Salmon Brut Reserve NV Champagne 75cl,1
7789292028060,,Billecart Salmon Brut Rose NV Champagne 75cl,1
7789307199644,,Billecart Salmon Blanc de Blancs Grand Cru NV Champagne 75cl,1
7793452253340,,Bollinger R.D. Extra Brut 2008 (75cl) Gift Box,1
7793457266844,,"BOLLINGER PN AYC 18 2018, 75cl",1
7808555352220,,"Chateau Beau-Sejour Becot 2018, 75cl",1
7808559874204,,"Côtes-du-Rhône Rouge, Guigal 2020",1
7808562954396,,Saint Emilion Grand Cru Cloitre Des Capucins 2019,1
7808616988828,,Willy Gisselbrecht Réserve Spéciale Gewürztraminer,1
7808628588700,,Castello di Tassarolo 'Il Castello' 2022,1
7808632881308,,Caymus Vineyards Cabernet Sauvignon 2022 75cl,1
7810104492188,,Hennessy Paradis,1
7827834175644,,Chandon Rosé Argentina 75cl,1
7827884638364,,Chandon Brut Argentina 75cl,1
7827900891292,,Chandon Garden Spritz 75cl,1
7829598371996,,"Ten Minutes by Tractor 10X Chardonnay 2021, 75cl",1
7829619998876,,Ten Minutes by Tractor 10X Pinot Noir 2021,1
7829636907164,,Clos St Andre Chateauneuf du Pape 75cl,1
7830114861212,,Domaine Drouhin Oregon's 2021 Pinot Noir 75cl,1
