handle,title,products,image_url,alt_text
prosecco-gifts,Prosecco Gifts,8,https://cdn.shopify.com/s/files/1/1624/5203/collections/IMG-5866_f2e54171-0d78-4ca6-a347-2dd3f3a1ad9e.png?v=1784854933,
provence,Provence wine Gifts,21,https://cdn.shopify.com/s/files/1/1624/5203/collections/Chateau-d_Esclans_Whispering_Angel_Rose_75cl.jpg?v=1789732089,Provence Wine
rare-champagne,Rare Champagne,15,https://cdn.shopify.com/s/files/1/1624/5203/collections/luc-belaire-rare-luxe-75cl_temp.jpg?v=1789732091,Rare Champagne
rare-whisky-500,Rare Whisky £500+,21,https://cdn.shopify.com/s/files/1/1624/5203/collections/Yamazaki-Smoky_Batch.png?v=1789732093,Rare Whisky £500+
red-wine,Red Wine Delivery in London,236,https://cdn.shopify.com/s/files/1/1624/5203/collections/10033584341022.jpg?v=1789731655,Red Wine Delivery in London
reposado-tequila,Reposado Tequila,31,https://cdn.shopify.com/s/files/1/1624/5203/collections/clase-azul-reposado-40-b_1.jpg?v=1789732094,Reposado Tequila
retirement-gifts-l,Retirement Gifts,180,https://cdn.shopify.com/s/files/1/1624/5203/collections/jack.jpg?v=1789731661,Retirement Gifts
rhone-valley,Rhone,3,https://cdn.shopify.com/s/files/1/1624/5203/collections/7.jpg?v=1789732095,Rhône Valley
riesling,Riesling,3,https://cdn.shopify.com/s/files/1/1624/5203/collections/Grosset-Polish_Hill_Riesling_2024_75cl.jpg?v=1789732126,Riesling
rioja,Rioja wine Gifts,10,https://cdn.shopify.com/s/files/1/1624/5203/collections/Lopez-de_Heredia_Vina_Tondonia_2017.jpg?v=1789732127,Rioja Wine
romantic-gifts,Romantic Gifts,402,https://cdn.shopify.com/s/files/1/1624/5203/collections/unnamed_cac14fc1-eeae-43a5-abf2-f37eba928fce.jpg?v=1789731645,Romantic Gifts
rose-champagne,Rosé Champagne,82,https://cdn.shopify.com/s/files/1/1624/5203/collections/011720_1528883547776.jpg?v=1789731734,Rosé Champagne
rose-champagne-wine-gifts,Rosé Champagne & Wine Gifts,102,https://cdn.shopify.com/s/files/1/1624/5203/collections/miraval-provence-rose_1024x1024_d2f9497d-bc4d-4e0f-896c-69cdb02baa02.jpg?v=1789731729,Rosé Champagne & Wine Gifts
